,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,3,seulement,only
3,4,police,police
4,5,pensais,thought
5,6,aide,help
6,7,demande,request
7,8,genre,kind
8,9,mois,month
9,10,frère,brother
10,11,laisser,let
11,12,car,because
12,13,mettre,to put
13,14,aucun,no
14,15,laisse,leash
15,16,eux,them
16,17,ville,city
17,18,chaque,each
18,19,parlé,speak
19,20,arrivé,come
20,21,devrait,should
21,22,longtemps,long time
22,23,heures,hours
23,24,vont,will
24,25,pendant,while
25,26,revoir,meet again
26,27,aucune,any
27,28,place,square
28,29,parle,speak
29,30,compris,understood
30,31,savais,knew
31,34,voici,here is
32,35,pourrais,could
33,36,donner,give
34,37,type,type
35,38,leurs,their
36,39,donné,given
37,40,corps,body
38,41,yeux,eyes
39,43,dont,whose
40,45,premier,first
41,46,perdu,lost
42,48,côté,side
43,49,pouvoir,power
44,50,vieux,old
45,51,sois,be
46,52,tiens,here
47,53,matin,morning
48,54,tellement,so much
49,55,enfant,child
50,57,venu,came
51,58,pardon,sorry
52,59,venez,come
53,60,vers,towards
54,61,minutes,minutes
55,63,chambre,bedroom
56,64,belle,beautiful
57,65,droit,law
58,66,aimerais,would like to
59,67,mari,husband
60,68,cause,cause
61,69,enfin,finally
62,70,espère,hope
63,71,eau,water
64,72,attendez,Wait
65,73,parti,left
66,74,nouvelle,new
67,75,boulot,job
68,76,arrêter,Stop
69,77,dirait,would say
70,78,terre,Earth
71,79,compte,account
72,80,donne,given
73,81,fin,end
74,82,croire,believe
75,83,chérie,sweetheart
76,84,gros,large
77,85,plutôt,rather
78,86,filles,girls
79,87,bureau,office
